Frame,License_Plate_Text,Char_X1,Char_Y1,Char_X2,Char_Y2,Char_Label
11,354D713,1122,216,1150,264,4
11,354D713,1162,214,1191,262,D
11,354D713,1163,259,1199,311,7
11,354D713,1184,213,1207,260,1
11,354D713,1189,260,1219,307,3
12,30H31768B,631,301,663,358,3
12,30H31768B,657,297,691,355,0
12,30H31768B,713,290,743,351,H
12,30H31768B,739,288,769,347,3
12,30H31768B,637,357,671,416,1
12,30H31768B,670,354,707,414,7
12,30H31768B,710,354,742,409,6
12,30H31768B,746,349,779,405,8
12,30H31768B,746,349,779,405,B
12,3T849,204,335,264,406,3
12,3T849,370,287,434,436,T
12,3T849,220,398,282,461,8
12,3T849,268,388,325,460,4
12,3T849,300,372,359,451,9
12,3544D713,1097,218,1123,264,3
12,3544D713,1102,260,1134,311,5
12,3544D713,1117,216,1145,263,4
12,3544D713,1130,262,1162,310,4
12,3544D713,1157,214,1184,261,D
12,3544D713,1161,260,1192,311,7
12,3544D713,1178,213,1200,258,1
12,3544D713,1185,260,1212,305,3
13,30H31768,629,297,660,355,3
13,30H31768,654,293,687,352,0
13,30H31768,709,287,743,348,H
13,30H31768,735,284,768,343,3
13,30H31768,636,355,668,413,1
13,30H31768,668,353,706,411,7
13,30H31768,707,350,742,405,6
13,30H31768,743,344,778,402,8
13,3544D713,1097,211,1123,258,3
13,3544D713,1101,254,1134,304,5
13,3544D713,1117,209,1145,257,4
13,3544D713,1130,255,1164,303,4
13,3544D713,1156,207,1186,255,D
13,3544D713,1162,252,1192,301,7
13,3544D713,1178,206,1206,252,1
13,3544D713,1186,252,1212,297,3
13,384,201,336,258,409,3
13,384,217,395,284,461,8
13,384,262,388,322,462,4
14,3544D713,1097,211,1123,258,3
14,3544D713,1102,254,1134,304,5
14,3544D713,1117,209,1145,257,4
14,3544D713,1130,255,1164,303,4
14,3544D713,1156,207,1186,255,D
14,3544D713,1162,252,1191,301,7
14,3544D713,1178,206,1205,252,1
14,3544D713,1186,253,1212,297,3
14,30H31768,629,297,660,355,3
14,30H31768,654,293,688,353,0
14,30H31768,709,287,743,348,H
